id,Folio,Illustration Title,Textual Elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,3,,,26,chaperon,"club, bed, tunic",rose,,"tonsure, gold foliate frame with gold, blue and red bands, gold background"
2,1r,4,,,2,"pink tunic, chaperon, liripipe","washstand, towel bar, towel, hanging lamp, armchair",,,"tonsure, gold foliate frame with gold and red bands, gold arabesque on blue background"
3,1r,6,,,2,"blue tunic, chaperon, liripipe, tonsure",,tree,,"tonsure, gold foliate frame with gold and blue bands, gold arabesque on red background"
4,1r,7,,,2,"purple tunic, chaperon, liripipe",,garden,"castle, barred window, arrow slits","tonsure, gold foliate frame with gold, blue and red bands, gold background"
5,1r,200,,,Hunter,chaperon,hunting horn,forest or hunting park,,"dragon, gold foliate frame"
6,2r,8,,,50,"white wimple, gown",bench,,,"gold foliate frame with gold band, white lozenges over gold, pink and blue checker diaper background"
7,2r,9,,,42,"white wimple, gown",bench,,,"gold foliate frame with gold and blue bands, diaper background"
8,2v,11,,,21,"white wimple, pink gown",,,,"gold foliate frame with gold and blue bands, white lozenges over blue and pink checker diaper"
9,2v,12,,,9,"white wimple, red gown","bench, towel bar, clothing",,,"gold foliate frame with gold and white bands, white lozenges over blue square diaper background"
10,3r,13,,,38,"red chaperon, white wimple, pink gown",bench,,,"gold foliate frame with gold and blue bands, pink gold and blue lozenge diaper"
11,3v,14,,,107,blue gown,,,,"gold foliate frame with gold and pink bands, red and gold plaid diaper"
12,3v,15,,,110,"red chaperon, pink gown, purple mantle, white wimple",walking stick,,,"gold foliate frame with gold and blue bands, lozenge diaper over gold blue and pink checker"
13,4r,16,,,86,"white wimple, white gown, red mantle, black veil","altar, altar cloth, book",,,"gold foliate frame with gold and pink bands, gold arabesques on blue background"
14,4v,17,,,95,"white cloth or rags, black sandal",,"hollow mound, tree",,"gold foliate frame with gold and pink bands, gold background"
15,4v,18,,,2,"red stockings, pink tunic, blue chaperon",,"garden, tree","wall, arrow slits, barred window","gold foliate frame with gold and blue bands, gold background"
16,5r,19,,,"2,83","red stockings, pink tunic, blue chaperon, blue gown",,"garden, tree","wall, arrow slits, door, doorway","gold foliate frame with gold red and white bands, gold background"
17,5v,20,,,"2,83","brown stockings, blue tunic, red chaperon with dagges, liripipe with dagges, jeweled girdle with prominent buckle, pink gown","mirror, multi-color striped drapery, chair",,,"gold foliate frame with blue white and gold bands, gold plaid diaper on red background"
18,6v,23,,,4,"green tunic, pink tunic, blue gown, red gown, blue tunic, green stockings, red stockings, pink stockings, jeweled belt, pink chaperon, pink liripipe, crown, pink mantle, girdle, white robe with blue and red embroidered pattern, girdle",,,,"gold foliate frame with red white and gold bands, gold background"
19,10r,38,,,"2,83","pink gown, red stockings, red chaperon",mirror,"grass, tree, mound",,"gold foliate frame with gold white and red bands, gold arabesques on blue background, reflection of Oiseuse in mirror"
20,11v,46,,,78,"blue tunic, red chaperon, liripipe, red stockings",,"spring, tree, grass",,"reflection of Narcisus in spring, gold foliate frame with white red and gold bands, white lozenge over gold blue and red checker background"
21,11v,47,,,78,"blue tunic, red chaperon, liripipe, red stockings",,"spring, tree, grass",,"gold foliate frame with gold blue and white bands, gold background"
22,12v,45,,,2,"blue tunic, blue chaperon, liripipe, red stockings",,"spring, tree, grass, mound",,"gold foliate frame with blue white and gold bands, gold background, blue red and yellow unknown objects in the spring"
23,13r,51,,,"4,2","blue tunic, blue chaperon, blue stockings, crown, blue mantle, white robe","pouch, bow, arrow",grass,,"gold foliate frame with blue white and gold bands, gold lozenge diaper over red background"
24,14v,53,,,"4,2","blue tunic, red chaperon, brown stockings, white robe, purple mantle, crown",,,,"gold foliate frame with blue white and gold bands, white lozenges over red checker diaper background"
25,15r,55,,,"4,2","blue tunic, red chaperon, liripipe, red stockings, white robe, purple mantle, crown",,"grass, tree",,"gold foliate frame with blue white and gold bands, red plaid diaper background"
26,20v,64,,,"11,2","red tunic, blue chaperon, liripipe, purple gown, blue houpellande with hanging sleeves, blue stockings, black shoes",,,,"gold foliate frame with gold blue and white bands, pink blue and gold lozenge diaper background"
27,21r,69,,,"96,2","blue tunic, red chaperon, red stockings, liripipe, blue gown, purple sleeveless surcoat, crown","castle, steps, barred window, arrow slits, doorway",,,"gold foliate frame with blue and gold bands, gold arabesques on red background"
28,22r,70,,,"3,2","red chaperon, pink tunic, grey stockings, red tunic, blue chaperon",,,,"gold foliate frame with gold blue and white bands, white lozenge over blue pink and gold checker background"
29,22v,71,,,"2,26","blue tunic, blue stockings, blue chaperon, liripipe, purple tunic, red chaperon",club,"rose, garden, hedges",,"gold foliate frame with blue red gold and white bands, gold background"
30,26r,89,,,"54,89,26","purple gown, red hood, liripipe, blue gown, blue tunic, blue chaperon, brown buskins",club,"tree, grass, mound",,"gold foliate frame with gold blue and white bands, gold background"
31,27r,"91,93",,,11,"blue tunic, red tunic, red stockings","stone, mortar, trowel, level",,"castle, barred window, arrow slits","gold foliate frame with gold red and white bands, gold background"
32,28v,95,,,60,"blue surcoat, chaperon","high-backed chair, lectern, book",,,"tonsure, Jean appears as monk, gold foliate frame with gold blue and white bands, gold arabesques on red background"
33,34r,98,,,44,purple gown,,wheel,,"gold foliate frame with gold red and white bands, gold background"
34,50r,116,,,3,"blue chaperon, liripipe, pink tunic, red stockings, pink chaperon, blue tunic, pink stockings",pouch,,,"gold foliate frame with gold red and white bands, white lozenges over pink blue and gold checker background"
35,64r,132,,,"57, Jalous' wife","blue tunic, brown chaperon, brown buskins, red gown",club,grass,,"gold foliate frame with gold and red bands, gold and blue plaid diaper"
36,64v,141,,,"2,3","blue striped tunic, grey chaperon, grey stockings, buttons, grey tunic, blue chaperon, liripipe, red stockings",,"trees, grass",,"gold foliate frame with gold red and white bands, gold background"
37,65v,135,,,"10,95,67","red stockings, pink tunic, red chaperon with straight hanging dagges, white wimple, white rags",,grass,,"hellmouth, gold foliate frame with gold red and white bands, gold and blue lozenge diaper background"
38,68v,143,,,"2,97","red tunic, pink chaperon, liripipe. grey stockings, blue tunic, purple chaperon, purple stockings, pink surcoat or houpellande with trailing sleeves, blue gown, blue chaperon, liripipe",,"tree, grass, mound",,"gold foliate frame with gold and blue bands, gold background"
39,70v,147,,,4,"chain mail, chausses, helmets, chaperons, patterned surcoats, gloves, flowered robe, pink mantle, crown,","kite shields, saddle, reins, bits, stirrups, banner",,,"gold foliate frame with gold and blue bands, gold background"
40,71r,148,,,"4,2","white robe, blue mantle, crown, pink tunic, pink stockings","bench, spear",,,"historiated blue and red initial, gold red and blue foliate frame extends around text from the top of the A column down the left margin and across the AB columns at the bottom of the page"
41,71v,149,,,"8,41","red hooded surcoat, blue robe, black robe, black veil, white wimple","bench, gloves?",,,"Contreinte Atenance as nun and Fausemblant as monk, tonsure, gold foliate frame with white gold and red bands, blue lozenges over gold and blue checker background"
42,76r,156,,,"4,8,41","brown chaperoned robe, rope belt, white robe, black hooded mantle, white robe, purple mantle, crown",,grass,,"Contreinte Atenance and Fausemblant as monks, tonsure, gold foliate frame with pink white and gold bands, gold background"
43,82r,149,,,"8,41","red hooded robe, brown robe, grey mantle, black veil, white wimple",book,,,"Contreinte Atenance as nun and Fausemblant as monk, tonsure, gold foliate frame with blue and white bands, pink, blue and gold lozenge diaper background"
44,89r,170,,,"11,109","red chaperon, pink tunic, red stockings, helmet, white gown, blue surcoat, white wimple, hanging sleeves",,,,"gold foliate frame with gold pink and white bands, red brown and blue plaid background, diaper background"
45,95r,174,,,"Horace, female figures","red robe, white chaperon, pink gown, pink surcoat, blue gown, hanging sleeves",,,,"gold foliate frame with gold and pink bands, gold arabesques on blue background"
46,100r,170,,,"11,109","blue tunic, blue chaperon, liripipe, red stockings, pink gown, white wimple",,,,"gold foliate frame with gold and white bands, gold, blue and pink lozenge diaper background"
47,101v,191,,,"26,109, 2","blue tunic, blue chaperon, liripipe, red stockings, pink gown, white wimple, blue hooded tunic",club,"garden, tree","castle, doorway, steps, arrow slits","gold foliate frame with gold and blue bands, gold background"
48,102r,192,,,57,,,,"castle, arrow slits, moat","gold foliate frame with gold and blue bands, gold background"
49,103v,201,,,60,"blue hooded robe, pink tunic, red chaperon, liripipe, red stockings, red tunic, blue chaperon, blue tunic, purple stockings, green stockings",high-backed chair,,,"Jean de Meun as monk, tonsure, gold lozenge diaper on blue background, gold foliate frame with gold and white bands"
50,105v,216,,,54,"purple gown, chain mail","sword, round shield with embossing (buckler shield?), kite shield with geometric ornament",,"castle, arrow slits","Honte and Amors barons are reversed, Honte should be defending not attacking the castle, gold foliate frame with white bands, gold arabesques on blue background"
51,108r,221,,,108,"purple chaperoned tunic, black riding boots, black cap","horse-drawn covered carriage, bridle, bit,",dirt,,arabesque background
52,114v,229,,,"79,48","crown, blue mantle, purple robe, brown stockings, red tunic, blue chaperon, liripipe",,,,"Nature portrayed like Amors with wings, Genyus portrayed like L'Amans?"
53,127r,232,,,"79,48,4","crown, pink robe",,grass,,"Nature portrayed like Amors, Genyus? portrayed as a knight? smeared beyond recognition"
54,132v,262,,,"4,48","red dalmatic, white robe, brown amice, white chasuble, crown, white robe, pink mantle",,,,"checker and diaper lozenge background, gold foliate frame"
55,141r,271,,,"108,54","red gown, pink houpellande, blue gown, white wimple, red chaperon",,,"castle, barred window, arrow slits, doorway","Venus and Honte reversed, Honte sends flames to attack castle, gold foliate frame with gold and white bands, gold background"
56,145r,285,,,"19,11","blue robe, wimple, red stockings, pink tunic, red chaperon, liripipe",,,,"corpse, white lozenges over pink blue and gold diaper"
57,145v,287,,,"79,2","red stockings, embroidered blue surcoat, grey tunic, grey chaperon, liripipe, black cap, blue gown, blue sleeveless surcoat","pilgrimâ€™s staff, pouch","grass, wildflowers, trees, mound",,"gold foliate frame with gold and blue bands, gold background"
