Target, Target start, Target end, Tag, Comment, CTS URN, IIIF Canvas path, Entity URI, Creator URI
Zeus,12594,12598,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.740@Zeus,/homer/VA/VA037RN-0038/canvas,,https://recogito.pelagios.org/chiara-p
the sea,8726,8733,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.665@the sea,/homer/VA/VA036RN-0037/canvas,http://dare.ht.lu.se/places/25650,https://recogito.pelagios.org/chiara-p
Herakles,8103,8111,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.650@Herakles,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Boeotians,2087,2096,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.525@Boeotians,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540689,https://recogito.pelagios.org/chiara-p
Arcadians,6156,6165,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.610@Arcadians,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/570102,https://recogito.pelagios.org/chiara-p
Athens,3124,3130,Athenians,Commander: Menestheus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.545@Athens,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/579885,https://recogito.pelagios.org/chiara-p
Pleuron,7430,7437,Aetolians,Commander: Thoas,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.635@Pleuron,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/540999,https://recogito.pelagios.org/chiara-p
Elone,12475,12480,,"Commanders: Polypoites, Leonteus",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.735@Elone,/homer/VA/VA037RN-0038/canvas,http://pleiades.stoa.org/places/540760,https://recogito.pelagios.org/chiara-p
Adrasteia,16966,16975,,Commander: Adrastos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.825@Adrasteia,/homer/VA/VA038VN-0540/canvas,http://pleiades.stoa.org/places/511138,https://recogito.pelagios.org/chiara-p
Perkote,17345,17352,,Commander: Asios,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.830@Perkote,/homer/VA/VA038VN-0540/canvas,http://pleiades.stoa.org/places/501556,https://recogito.pelagios.org/chiara-p
Askania,18789,18796,Phrygians,"Commanders: Phorkys, Askanios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.860@Askania,/homer/VA/VA039RN-0040/canvas,http://pleiades.stoa.org/places/511165,https://recogito.pelagios.org/chiara-p
Echinean islands,6852,6868,Dulichium,"Commanders: Meges, Phyleus",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.625@Echinean islands,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/530852,https://recogito.pelagios.org/chiara-p
Telea,16738,16743,Teleans,Commander: Pandaros,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.820@Telea,/homer/VA/VA038VN-0540/canvas,http://pleiades.stoa.org/places/511461,https://recogito.pelagios.org/chiara-p
Ares,8038,8042,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.650@Ares,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Agamemnon,14236,14245,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.770@Agamemnon,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Aipytos,5873,5880,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600@Aipytos,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Thalpios,6621,6629,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.620@Thalpios,/homer/VA/VA035VN-0537/canvas,,https://recogito.pelagios.org/chiara-p
Zeus,6984,6988,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.625@Zeus,/homer/VA/VA035VN-0537/canvas,,https://recogito.pelagios.org/chiara-p
Iphiklos,10851,10859,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.705@Iphiklos,/homer/VA/VA036VN-0538/canvas,,https://recogito.pelagios.org/chiara-p
Midea,1186,1191,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.505@Midea,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/570485,https://recogito.pelagios.org/chiara-p
Plataea,1058,1065,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.500@Plataea,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/541063,https://recogito.pelagios.org/chiara-p
Lilaea,1925,1931,Phocaeans,"Commanders: Schedios, Epistrophos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520@Lilaea,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540915,https://recogito.pelagios.org/chiara-p
Thamyris,5336,5344,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.595@Thamyris,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Carpathus,9328,9337,,"Commanders: Pheidippos, Antiphos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.675@Carpathus,/homer/VA/VA036RN-0037/canvas,http://pleiades.stoa.org/places/589841,https://recogito.pelagios.org/chiara-p
Ithome,11999,12005,,"Commanders: Asklepios, Podaleirios, Machaon",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.725@Ithome,/homer/VA/VA037RN-0038/canvas,http://pleiades.stoa.org/places/540841,https://recogito.pelagios.org/chiara-p
Boebe,11188,11193,Pheraians,Commander: Admetos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.710@Boebe,/homer/VA/VA036VN-0538/canvas,,https://recogito.pelagios.org/chiara-p
Amphios,17093,17100,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.825@Amphios,/homer/VA/VA038VN-0540/canvas,,https://recogito.pelagios.org/chiara-p
Aiakos,19418,19424,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.870@Aiakos,/homer/VA/VA039RN-0040/canvas,,https://recogito.pelagios.org/chiara-p
Nisyrus,9319,9326,,30,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.675@Nisyrus,/homer/VA/VA036RN-0037/canvas,http://pleiades.stoa.org/places/599830,https://recogito.pelagios.org/chiara-p
Pteleum,10346,10353,Phylake,Commander: Podarkes,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.695@Pteleum,/homer/VA/VA036VN-0538/canvas,http://pleiades.stoa.org/places/541077,https://recogito.pelagios.org/chiara-p
Dulichium,6826,6835,Dulichium,40,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.625@Dulichium,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/530845,https://recogito.pelagios.org/chiara-p
Neritum,7143,7150,Cephallenians,Commander: Odysseus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.630@Neritum,/homer/VA/VA035VN-0537/canvas,,https://recogito.pelagios.org/chiara-p
Meonians,18946,18954,Meonians,"Commanders: Mesthles, Antiphos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.865@Meonians,/homer/VA/VA039RN-0040/canvas,http://pleiades.stoa.org/places/550710,https://recogito.pelagios.org/chiara-p
Ares,1546,1550,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.510@Ares,/homer/VA/VA033VN-0535/canvas,,https://recogito.pelagios.org/chiara-p
Peteos,3427,3433,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.550@Peteos,/homer/VA/VA034VN-0536/canvas,,https://recogito.pelagios.org/chiara-p
Gerene,5745,5751,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600@Gerene,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Aktor,6705,6710,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.620@Aktor,/homer/VA/VA035VN-0537/canvas,,https://recogito.pelagios.org/chiara-p
Achilles,14068,14076,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.765@Achilles,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Machaon,12166,12173,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.730@Machaon,/homer/VA/VA037RN-0038/canvas,,https://recogito.pelagios.org/chiara-p
Athens,3261,3267,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.545@Athens,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/579885,https://recogito.pelagios.org/chiara-p
the sea,6261,6268,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.610@the sea,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/1224,https://recogito.pelagios.org/chiara-p
Thisbe,991,997,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.500@Thisbe,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/541146,https://recogito.pelagios.org/chiara-p
Hermione,3760,3768,Argolis,"Commanders: Diomedes, Sthenelos, Euryalos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560@Hermione,/homer/VA/VA034VN-0536/canvas,http://pleiades.stoa.org/places/570292,https://recogito.pelagios.org/chiara-p
Helike,4361,4367,Mycenaeans,Commander: Agamemnon,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.575@Helike,/homer/VA/VA034VN-0536/canvas,http://pleiades.stoa.org/places/570281,https://recogito.pelagios.org/chiara-p
Pheneus,5931,5938,Arcadians,Commander: Agapenor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.605@Pheneus,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Lykastos,7824,7832,Cretans,Commander: Idomeneus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.645@Lykastos,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/589917,https://recogito.pelagios.org/chiara-p
Calydnian islands,9391,9408,,"Commanders: Pheidippos, Antiphos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.675@Calydnian islands,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Olizon,11440,11446,Methonians,Commander: Philoktetes,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.715@Olizon,/homer/VA/VA037RN-0038/canvas,http://pleiades.stoa.org/places/540979,https://recogito.pelagios.org/chiara-p
Titaresios,13119,13129,Peraebi,Commander: Guneus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.750@Titaresios,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/541151,https://recogito.pelagios.org/chiara-p
Cretans,7736,7743,Cretans,80,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.645@Cretans,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/589748,https://recogito.pelagios.org/chiara-p
Hyperesia,4279,4288,Mycenaeans,Commander: Agamemnon,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.570@Hyperesia,/homer/VA/VA034VN-0536/canvas,http://pleiades.stoa.org/places/573256,https://recogito.pelagios.org/chiara-p
Crisa,1799,1804,Phocaeans,"Commanders: Schedios, Epistrophos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520@Crisa,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540889,https://recogito.pelagios.org/chiara-p
Peneus,13220,13226,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.750@Peneus,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/541022,https://recogito.pelagios.org/chiara-p
Alybe,18442,18447,Halizoni,"Commanders: Odios, Epistrophos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.855@Alybe,/homer/VA/VA039RN-0040/canvas,http://pleiades.stoa.org/places/554184,https://recogito.pelagios.org/chiara-p
Xanthos,19551,19558,Lycians,"Commanders: Sarpedon, Glaukos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.875@Xanthos,/homer/VA/VA039RN-0040/canvas,http://pleiades.stoa.org/places/845090,https://recogito.pelagios.org/chiara-p
fifty ships,1255,1266,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.505@fifty ships,/homer/VA/VA033VN-0535/canvas,,https://recogito.pelagios.org/chiara-p
Ares,10814,10818,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.700@Ares,/homer/VA/VA036VN-0538/canvas,,https://recogito.pelagios.org/chiara-p
Adrastos,17080,17088,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.825@Adrastos,/homer/VA/VA038VN-0540/canvas,,https://recogito.pelagios.org/chiara-p
Agapenor,6085,6093,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.605@Agapenor,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
three ships,9104,9115,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.670@three ships,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Nireus,9128,9134,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.670@Nireus,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Pelias,11364,11370,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.715@Pelias,/homer/VA/VA037RN-0038/canvas,,https://recogito.pelagios.org/chiara-p
Eleon,903,908,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.500@Eleon,/homer/VA/VA033VN-0535/canvas,http://dare.ht.lu.se/places/31134,https://recogito.pelagios.org/chiara-p
Cyparissus,1768,1778,Phocaeans,"Commanders: Schedios, Epistrophos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.515@Cyparissus,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/570322,https://recogito.pelagios.org/chiara-p
Panopeus,1818,1826,Phocaeans,"Commanders: Schedios, Epistrophos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520@Panopeus,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/541008,https://recogito.pelagios.org/chiara-p
Histiaea,2626,2634,Abantes,Commander: Elphenor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.535@Histiaea,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540817,https://recogito.pelagios.org/chiara-p
Helos,4811,4816,Laconians,Commander: Menelaos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.580@Helos,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/550568,https://recogito.pelagios.org/chiara-p
Myrsinus,6445,6453,Elis,"Commanders: Amphimakhos, Thalpios, Diores, Polyxenos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.615@Myrsinus,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/501520,https://recogito.pelagios.org/chiara-p
Alesium,6493,6500,Elis,"Commanders: Amphimakhos, Thalpios, Diores, Polyxenos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.615@Alesium,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/570064,https://recogito.pelagios.org/chiara-p
Knossos,7754,7761,Cretans,Commander: Idomeneus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.645@Knossos,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/589872,https://recogito.pelagios.org/chiara-p
Alope,9591,9596,Myrmidons,Commander: Achilles,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680@Alope,/homer/VA/VA036VN-0538/canvas,http://pleiades.stoa.org/places/540621,https://recogito.pelagios.org/chiara-p
Hektor,15519,15525,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800@Hektor,/homer/VA/VA038RN-0039/canvas,,https://recogito.pelagios.org/chiara-p
Chromis,18482,18489,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.855@Chromis,/homer/VA/VA039RN-0040/canvas,,https://recogito.pelagios.org/chiara-p
Messe,4755,4760,Laconians,Commander: Menelaos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.580@Messe,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/570478,https://recogito.pelagios.org/chiara-p
Cynus,2385,2390,Locrians,Commander: Ajax Oileus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.530@Cynus,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540896,https://recogito.pelagios.org/chiara-p
Thebes,1095,1101,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.505@Thebes,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/541138,https://recogito.pelagios.org/chiara-p
Nisa,1200,1204,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.505@Nisa,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/543807,https://recogito.pelagios.org/chiara-p
Eionae,3803,3809,Argolis,"Commanders: Diomedes, Sthenelos, Euryalos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560@Eionae,/homer/VA/VA034VN-0536/canvas,,https://recogito.pelagios.org/chiara-p
Laas,4832,4836,Laconians,Commander: Menelaos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.580@Laas,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Pteleum,5287,5294,Pylos,Commander: Nestor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.590@Pteleum,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/541077,https://recogito.pelagios.org/chiara-p
Cyllene,5847,5854,Arcadians,Commander: Agapenor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600@Cyllene,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/570391,https://recogito.pelagios.org/chiara-p
Hyrmine,6436,6443,Elis,"Commanders: Amphimakhos, Thalpios, Diores, Polyxenos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.615@Hyrmine,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/570305,https://recogito.pelagios.org/chiara-p
Lindos,8269,8275,Rhodians,Commander: Tleptolemos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.655@Lindos,/homer/VA/VA036RN-0037/canvas,http://pleiades.stoa.org/places/589913,https://recogito.pelagios.org/chiara-p
Apollo,16917,16923,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.825@Apollo,/homer/VA/VA038VN-0540/canvas,,https://recogito.pelagios.org/chiara-p
Praktios,17357,17365,,Commander: Asios,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.830@Praktios,/homer/VA/VA038VN-0540/canvas,http://pleiades.stoa.org/places/501577,https://recogito.pelagios.org/chiara-p
Hyrtakos,17481,17489,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.835@Hyrtakos,/homer/VA/VA038VN-0540/canvas,,https://recogito.pelagios.org/chiara-p
Abantes,2571,2578,Abantes,50,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.535@Abantes,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540583,https://recogito.pelagios.org/chiara-p
Syme,9121,9125,Syme,3,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.670@Syme,/homer/VA/VA036RN-0037/canvas,http://pleiades.stoa.org/places/599950,https://recogito.pelagios.org/chiara-p
Methone,11392,11399,Methonians,50,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.715@Methone,/homer/VA/VA037RN-0038/canvas,http://pleiades.stoa.org/places/540946,https://recogito.pelagios.org/chiara-p
Parthenios,18324,18334,Paphlagonians,Commander: Pylaimenes,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.850@Parthenios,/homer/VA/VA039RN-0040/canvas,http://pleiades.stoa.org/places/609495,https://recogito.pelagios.org/chiara-p
Euaemon,12384,12391,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.735@Euaemon,/homer/VA/VA037RN-0038/canvas,,https://recogito.pelagios.org/chiara-p
Athenians,3678,3687,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.555@Athenians,/homer/VA/VA034VN-0536/canvas,http://pleiades.stoa.org/places/579885,https://recogito.pelagios.org/chiara-p
Coronea,1018,1025,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.500@Coronea,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/540717,https://recogito.pelagios.org/chiara-p
Nestor,5725,5731,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600@Nestor,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Pellene,4309,4316,Mycenaeans,Commander: Agamemnon,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.570@Pellene,/homer/VA/VA034VN-0536/canvas,http://pleiades.stoa.org/places/570576,https://recogito.pelagios.org/chiara-p
Samos,7196,7201,Cephallenians,Commander: Odysseus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.630@Samos,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/599925,https://recogito.pelagios.org/chiara-p
Gortys,7791,7797,Cretans,Commander: Idomeneus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.645@Gortys,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/570267,https://recogito.pelagios.org/chiara-p
